data_periods,zone_id,zone_name,mode_of_travel,day_type,day_part,zone_traffic,output_unit
"Jan 01, 2022 - Aug 31, 2022",,Rose to Sacramento,Pedestrian - StL Pedestrian Volume,0: All Days (M-Su),2: Peak AM (6am-10am),114,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,Rose to Sacramento,Pedestrian - StL Pedestrian Volume,0: All Days (M-Su),3: Mid-Day (10am-3pm),181,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,Rose to Sacramento,Pedestrian - StL Pedestrian Volume,0: All Days (M-Su),4: Peak PM (3pm-7pm),112,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,Rose to Sacramento,Pedestrian - StL Pedestrian Volume,0: All Days (M-Su),5: Late PM (7pm-12am),30,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,Rose to Sacramento,Pedestrian - StL Pedestrian Volume,1: Weekday (M-Th),0: All Day (12am-12am),397,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,Rose to Sacramento,Pedestrian - StL Pedestrian Volume,1: Weekday (M-Th),2: Peak AM (6am-10am),123,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,Rose to Sacramento,Pedestrian - StL Pedestrian Volume,1: Weekday (M-Th),3: Mid-Day (10am-3pm),161,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,Rose to Sacramento,Pedestrian - StL Pedestrian Volume,1: Weekday (M-Th),4: Peak PM (3pm-7pm),126,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,Rose to Sacramento,Pedestrian - StL Pedestrian Volume,1: Weekday (M-Th),5: Late PM (7pm-12am),40,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,Rose to Sacramento,Pedestrian - StL Pedestrian Volume,2: Weekend (Sa-Su),0: All Day (12am-12am),340,Average Daily Zone Traffic (StL Volume)
