data_periods,zone_id,zone_name,mode_of_travel,day_type,day_part,zone_traffic,output_unit
"Jan 01, 2022 - Aug 31, 2022",,Sacramento to McGee,Bicycle - StL Bicycle Volume,0: All Days (M-Su),5: Late PM (7pm-12am),35,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,Sacramento to McGee,Bicycle - StL Bicycle Volume,1: Weekday (M-Th),0: All Day (12am-12am),308,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,Sacramento to McGee,Bicycle - StL Bicycle Volume,1: Weekday (M-Th),2: Peak AM (6am-10am),54,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,Sacramento to McGee,Bicycle - StL Bicycle Volume,1: Weekday (M-Th),3: Mid-Day (10am-3pm),125,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,Sacramento to McGee,Bicycle - StL Bicycle Volume,1: Weekday (M-Th),4: Peak PM (3pm-7pm),105,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,Sacramento to McGee,Bicycle - StL Bicycle Volume,1: Weekday (M-Th),5: Late PM (7pm-12am),46,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,Sacramento to McGee,Bicycle - StL Bicycle Volume,2: Weekend (Sa-Su),0: All Day (12am-12am),345,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,Sacramento to McGee,Bicycle - StL Bicycle Volume,2: Weekend (Sa-Su),2: Peak AM (6am-10am),34,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,Sacramento to McGee,Bicycle - StL Bicycle Volume,2: Weekend (Sa-Su),3: Mid-Day (10am-3pm),162,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,Sacramento to McGee,Bicycle - StL Bicycle Volume,2: Weekend (Sa-Su),4: Peak PM (3pm-7pm),97,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,Sacramento to McGee,Bicycle - StL Bicycle Volume,2: Weekend (Sa-Su),5: Late PM (7pm-12am),61,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,San Pablo to Peralta,Bicycle - StL Bicycle Volume,0: All Days (M-Su),0: All Day (12am-12am),305,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,San Pablo to Peralta,Bicycle - StL Bicycle Volume,0: All Days (M-Su),2: Peak AM (6am-10am),34,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,San Pablo to Peralta,Bicycle - StL Bicycle Volume,0: All Days (M-Su),3: Mid-Day (10am-3pm),112,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,San Pablo to Peralta,Bicycle - StL Bicycle Volume,0: All Days (M-Su),4: Peak PM (3pm-7pm),159,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,San Pablo to Peralta,Bicycle - StL Bicycle Volume,0: All Days (M-Su),5: Late PM (7pm-12am),21,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,San Pablo to Peralta,Bicycle - StL Bicycle Volume,1: Weekday (M-Th),0: All Day (12am-12am),326,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,San Pablo to Peralta,Bicycle - StL Bicycle Volume,1: Weekday (M-Th),2: Peak AM (6am-10am),53,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,San Pablo to Peralta,Bicycle - StL Bicycle Volume,1: Weekday (M-Th),3: Mid-Day (10am-3pm),118,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,San Pablo to Peralta,Bicycle - StL Bicycle Volume,1: Weekday (M-Th),4: Peak PM (3pm-7pm),128,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,San Pablo to Peralta,Bicycle - StL Bicycle Volume,1: Weekday (M-Th),5: Late PM (7pm-12am),28,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,San Pablo to Peralta,Bicycle - StL Bicycle Volume,2: Weekend (Sa-Su),0: All Day (12am-12am),272,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,San Pablo to Peralta,Bicycle - StL Bicycle Volume,2: Weekend (Sa-Su),2: Peak AM (6am-10am),22,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,San Pablo to Peralta,Bicycle - StL Bicycle Volume,2: Weekend (Sa-Su),3: Mid-Day (10am-3pm),104,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,San Pablo to Peralta,Bicycle - StL Bicycle Volume,2: Weekend (Sa-Su),4: Peak PM (3pm-7pm),209,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,San Pablo to Peralta,Bicycle - StL Bicycle Volume,2: Weekend (Sa-Su),5: Late PM (7pm-12am),33,Average Daily Zone Traffic (StL Volume)
